x2,y2,r_mag,ax2,ay2
284034176.6730241,254917740.15080824,384399999.99889714,-0.002010114837550536,-0.0017988214005432157
287291239.9147189,256935584.07762513,384399999.9988707,-0.001998755228674237,-0.001811435251545146
285089091.4361934,257850962.1339046,384399999.9988031,-0.0019873164603328164,-0.0018239773614855403
283301438.2758617,261795611.59823218,384399999.99874765,-0.001975798986974836,-0.0018364472350382854
282427225.8364288,261757841.01979512,384399999.9987097,-0.001964203274254256,-0.001848844387589671
279325378.9369305,264241188.2639,384399999.99869627,-0.001952529784715995,-0.0018611683315497562
276005310.2568316,265353802.01926267,384399999.9986293,-0.0019407789704079248,-0.0018734185687215577
280391945.2819524,269007105.5739133,384399999.9985573,-0.0019289512906434658,-0.0018855946078970287
274241343.1298947,270640253.4725764,384399999.9985029,-0.0019170472221054224,-0.0018976959752846911
276578010.0789182,272045468.5219586,384399999.99847275,-0.0019050672443431949,-0.0019097222000695746
269942556.01834625,276643619.284912,384399999.998441,-0.0018930118282577402,-0.0019216728023933871
268222065.24418992,270091420.9119178,384399999.9983535,-0.001880881439786014,-0.001933547296856769
271468227.2684919,276963126.6880497,384399999.99827904,-0.0018686765599226773,-0.0019453452138167293
268050063.5915815,280270998.1155857,384399999.9982251,-0.0018563976817402295,-0.0019570660966031495
263031724.93327263,278952537.6986429,384399999.99820304,-0.0018440452973344512,-0.0019687094875604494
262332923.6299956,285440831.6440802,384399999.99814034,-0.0018316198874029355,-0.001980274916203839
260253088.64138153,286660098.89380383,384399999.9980418,-0.0018191219340362996,-0.0019917619132552022
259627457.66355294,289011712.50036705,384399999.9979628,-0.0018065519375285166,-0.002003170029862833
258461477.5126809,290559135.1054633,384399999.9979081,-0.0017939104050459787,-0.002014498825089417
256293353.1304497,292082025.9312739,384399999.99788976,-0.001781197840840798,-0.002025747854701304
253003307.07387784,287707388.4269885,384399999.9977993,-0.0017684147373932535,-0.002036916660227428
254960054.05060622,292369945.20558584,384399999.9976899,-0.0017555615927679624,-0.002048004789485691
251174418.62312552,295327598.3419377,384399999.9976035,-0.0017426389235324913,-0.0020590118125265178
246676719.96699536,294248413.26565856,384399999.9975451,-0.0017296472503718352,-0.0020699373044823777
247387893.1734594,297032976.5065541,384399999.99752474,-0.0017165870902801916,-0.0020807808360047697
239659524.53535944,294445901.20570606,384399999.9974169,-0.0017034589486165097,-0.002091541962670168
243334443.7063003,300442013.5765055,384399999.9972939,-0.001690263337771114,-0.0021022202485975194
238861013.78665817,296158091.9298006,384399999.9971963,-0.0016770007883883942,-0.00211281528136123
238997511.59875622,300553538.2935513,384399999.99712956,-0.0016636718344405776,-0.002123326652931301
238328458.59872904,308501000.80161285,384399999.9971072,-0.0016502770067738648,-0.0021337539512653325
232050700.0775902,303423804.2415348,384399999.99699205,-0.0016368168241540915,-0.0021440967476153427
233455606.53618103,310526151.8691538,384399999.99685127,-0.0016232918110573036,-0.002154354620521992
